,X,Y,AADT 2015,AADT 2016
246,-75.61728325,38.3680118,"9,721","9,902"
247,-77.02165907,39.54252183,"4,324","4,415"
248,-76.98953044,39.55682794,"2,152","2,180"
249,-76.74454865,39.31959874,"213,971","218,472"
250,-79.16012968,39.6920637,164,185
251,-76.61321396,39.41418682,"3,161","3,232"
252,-76.61597901,38.59834452,"3,054","3,165"
253,-76.82117403,39.24969995,"1,614","1,655"
254,-76.54114121,38.3184991,"32,102","37,090"
255,-76.5976131,39.13274553,"7,341","7,610"
256,-76.57788766,39.38573745,"18,943","19,314"
257,-77.65995602,39.57664064,512,533
258,-76.90589739,38.92180629,"84,732","86,944"
259,-76.45138806,39.38049496,"5,870","5,630"
260,-76.69033546,39.2666222,"2,693","2,744"
261,-77.31496132,39.69996999,"18,440","19,031"
262,-76.44822985,39.04091812,"2,853","2,904"
263,-77.69017536,39.33333188,953,984
264,-76.24543823,39.4912091,"1,901","1,962"
265,-78.95467053,39.60520968,133,144
266,-77.15648385,39.16554699,"21,702","22,123"
267,-76.4517589,39.37752224,"6,211","6,342"
268,-75.81951191,38.89441286,"2,704","2,880"
269,-76.79651882,39.4050342,"50,931","51,912"
270,-76.61983521,39.30417161,"3,121","3,182"
271,-77.33410484,39.12788563,"14,890","15,371"
272,-76.64533656,39.16147012,"6,811","6,942"
273,-76.67059106,39.63204053,182,193
274,-76.51640848,39.36741535,"41,042","40,910"
275,-77.15243465,39.07535971,"1,163","1,184"
276,-76.8508096,39.03511149,"8,004","8,370"
277,-76.62924595,39.09308089,"10,995","11,200"
278,-75.80462662,38.97518262,"3,773","3,894"
279,-75.74732729,38.46154027,"25,451","26,242"
280,-76.53326357,39.38238162,,
281,-76.6384191,39.42168944,"33,944","34,665"
282,-76.67338046,39.43043117,"11,504","11,735"
283,-76.66934659,39.23586984,"2,634","2,900"
284,-76.54621737,39.07914879,"3,314","3,395"
285,-75.21529783,38.34139099,"1,710","1,751"
286,-76.77468851,38.50622442,"41,650","42,961"
287,-76.63926789,39.1684599,"10,405","9,890"
288,-77.48691829,39.42309244,"70,962","58,440"
289,-76.34965077,39.44282719,"6,793","6,944"
290,-76.9373044,39.07334122,433,444
291,-75.59292938,38.37626722,"2,892","2,860"
292,-76.51305368,39.40970612,"13,525","14,530"
293,-76.44841722,39.02794165,631,642
294,-76.79149278,38.78431915,"4,430","4,521"
295,-76.71937281,39.27543686,"5,143","5,244"
296,-77.4069506,39.39937833,514,535
297,-76.62068494,39.4132792,"177,172","167,060"
298,-76.66560588,39.49469606,"12,032","12,283"
299,-77.58615904,39.35468142,"3,550","3,661"
300,-75.93189517,39.32902452,"4,614","4,550"
301,-76.85367936,39.47859239,"1,171","1,212"
302,-77.81471173,39.58908899,"2,443","2,494"
303,-76.83580038,39.23855414,"8,135","8,295"
304,-77.74553239,39.50789703,"1,131","1,162"
305,-77.70094233,39.70119974,591,602
306,-78.72362986,39.63635977,711,742
307,-77.20152018,39.14085943,"11,032","11,253"
308,-77.12097026,39.00258167,"2,713","2,774"
309,-76.69151933,39.20346407,"10,632","10,863"
310,-75.58444322,38.368599,"21,771","22,182"
311,-76.44887793,39.36665067,"2,103","2,144"
312,-75.7277273,38.25905206,70,81
313,-76.99734988,39.49165007,20,21
314,-76.99535621,38.97418934,"43,300","44,131"
315,-76.52781438,39.05958833,"3,844","3,925"
316,-77.7327012,39.59406501,"1,271","1,322"
317,-76.69006328,39.25921862,"5,673","5,784"
318,-76.94797681,39.08490592,"4,783","4,874"
319,-77.403612,39.40294303,"22,702","32,770"
320,-76.72003586,38.89847125,"4,931","5,092"
321,-76.50765964,39.33734065,"6,503","6,634"
322,-76.6071592,39.31212769,"3,632","3,713"
323,-76.8335438,39.4752892,"25,741","26,232"
324,-78.11997087,39.6880117,"36,771","38,381"
325,-77.31451333,39.29197586,"6,985","9,000"
326,-76.55773129,39.11099489,"6,771","6,902"
327,-76.8935644,38.97193714,"10,743","10,944"
328,-76.69922647,39.26400452,"12,573","12,814"
329,-77.68769618,39.33376373,"2,423","2,504"
330,-78.46069726,39.67519311,125,220
331,-77.28228297,39.16420634,"26,221","26,722"
332,-76.09414935,39.54292783,100,101
333,-76.99512537,39.42582365,"4,532","4,623"
334,-76.81935225,39.27970062,"3,942","4,023"
335,-76.81716843,39.24554984,"6,360","6,481"
336,-76.43798973,38.38176596,"22,561","23,282"
337,-76.4233132,39.02031906,"1,814","1,875"
338,-76.75759766,39.27382963,"6,962","6,880"
339,-77.46792124,39.25746361,"3,812","4,190"
340,-78.28733778,39.72124619,110,111
341,-78.57234222,39.70665973,525,510
342,-77.21891239,39.11104469,"42,621","43,432"
343,-76.61225492,39.24631411,"16,461","16,772"
344,-77.07638859,39.10525639,"40,660","41,431"
345,-76.63403132,39.4406716,"3,062","3,123"
346,-76.99895129,39.59332563,380,391
347,-76.60197705,39.14154051,"11,354","11,585"
348,-76.63573467,38.29416627,"7,070","7,301"
349,-77.16131786,39.03231361,"15,383","15,684"
350,-77.39954098,39.48618047,"1,461","1,512"
351,-76.91941948,38.96239377,"43,271","44,102"
352,-76.28951347,39.62678032,"11,892","12,500"
353,-76.7536366,39.13878055,"4,230","4,311"
354,-76.49152361,39.3641676,"3,853","3,560"
355,-76.85058367,38.90577777,"3,295","5,120"
356,-78.83321529,39.6349233,"30,740","31,401"
357,-76.96208868,39.36893566,"3,414","3,485"
358,-77.03104884,38.57443085,"6,174","6,385"
359,-76.50084793,39.05034572,"3,784","3,875"
360,-76.67066443,39.49444223,"2,952","3,023"
361,-76.49998489,39.33075537,"13,973","14,244"
362,-77.09097201,39.45144843,"12,655","13,570"
363,-75.82843423,38.89648491,"29,071","29,962"
364,-76.76783529,39.1966421,"5,971","6,092"
365,-76.56109689,38.79165942,"1,604","1,645"
366,-76.69420456,39.15697876,"24,331","24,792"
367,-76.62486422,39.36905782,"5,500","5,611"
368,-76.91579958,38.81791918,"25,965","26,700"
369,-77.17235858,38.98142544,"231,715","232,570"
370,-76.7332381,39.27166258,"14,051","14,322"
371,-77.14662785,39.08094248,"1,343","1,374"
372,-76.66439453,39.40858084,"18,934","19,335"
373,-77.45237246,39.36566801,"2,561","2,632"
374,-76.78326978,39.20855971,"2,100","2,141"
375,-76.86371366,38.96234588,"9,283","9,464"
376,-76.72142535,39.2583243,"3,203","3,274"
377,-76.62768138,39.41724637,"9,142","9,343"
378,-77.73137711,39.68888872,"28,843","29,404"
379,-76.0571704,38.65322993,"1,150","1,181"
380,-76.70263375,39.22066701,"2,375","3,010"
381,-76.72842314,39.67673027,"1,614","1,675"
382,-76.527655,39.3535334,"7,980","8,131"
383,-76.65805225,39.13217316,"4,194","4,295"
384,-78.73981034,39.62770624,"12,282","12,740"
385,-76.86104654,38.8305287,"1,651","1,770"
386,-76.88719369,39.10215933,"3,160","3,231"
387,-75.66615911,38.41624585,"3,611","3,732"
388,-76.84411899,39.22927027,"12,212","12,453"
389,-76.67420671,39.3029207,"4,501","4,582"
390,-75.79421448,38.18686099,"1,602","1,540"
391,-76.54303614,39.31099284,"4,060","4,151"
392,-77.01667942,39.5427251,"8,802","8,650"
393,-76.52298097,39.11106251,"4,284","4,385"
394,-76.63302768,39.43707643,"1,382","1,413"
395,-76.42394255,39.39415758,"12,200","12,431"
396,-76.56821382,39.59250293,"2,072","2,190"
397,-76.68743533,39.39503612,734,680
398,-76.65189181,39.36134248,"3,033","3,104"
399,-76.70025902,39.2549778,"8,273","8,444"
400,-76.69628024,38.41902423,"25,112","26,980"
401,-76.9081687,39.07389594,780,801
402,-76.5990877,39.41423165,191,202
403,-76.50224482,39.30019718,"4,823","4,924"
404,-77.11617893,39.08714696,"11,041","11,262"
405,-76.3489263,39.4429276,"3,723","3,804"
406,-76.95368005,39.07806673,"4,811","4,902"
407,-76.81337147,39.19122206,"2,160","2,100"
408,-76.54832497,39.09952414,"2,034","2,085"
409,-76.67077048,39.63213654,452,483
410,-76.63075767,39.41736551,"206,162","210,503"
411,-77.41068534,39.38404697,"5,320","5,441"
412,-76.69365375,39.23956003,"3,833","3,914"
413,-76.9166011,38.90522601,"11,003","11,224"
414,-75.72131803,38.6511242,"2,512","2,593"
415,-77.35461488,39.67362437,"1,042","1,073"
416,-76.82000815,39.25583201,"25,734","26,235"
417,-76.61546672,39.30983961,"2,624","2,685"
418,-77.13294815,39.35014148,"1,304","1,345"
419,-77.31670817,39.28075615,"7,602","8,670"
420,-76.94876885,38.96730649,"23,053","23,494"
421,-76.72584444,39.27477321,462,473
422,-76.60755396,38.7134915,"11,992","12,480"
423,-76.94469776,39.20876121,"2,210","2,281"
424,-76.92946892,39.53976353,"3,151","3,262"
425,-78.75577726,39.65078289,,
426,-78.6117609,39.54025841,944,985
427,-77.05074138,39.06163327,"20,611","21,012"
428,-76.34660707,39.53610687,"9,194","9,385"
429,-77.36054996,39.1490578,"6,310","6,511"
430,-76.97042204,39.557694,"3,954","4,045"
431,-76.67514566,39.59268376,"1,352","1,410"
432,-76.81776109,39.27656343,102,103
433,-76.5263538,39.33211202,"3,603","3,674"
434,-76.51321495,38.18808665,"4,713","4,864"
435,-76.72325287,39.27269599,"5,644","5,775"
436,-76.68701577,39.23317833,"5,311","5,422"
437,-77.73907089,39.53990815,"9,532","9,470"
438,-75.7001857,38.20351898,"3,882","4,180"
439,-76.49778109,39.40172257,"1,061","1,082"
440,-77.7790486,39.61381561,"12,192","12,930"
441,-76.55752898,39.07476742,"14,734","15,035"
442,-76.66526618,39.54779364,694,715
443,-76.69732297,39.21965193,"17,808","18,321"
444,-76.80497107,39.26428182,"7,594","7,755"
445,-76.65691918,38.73680591,"2,864","2,945"
446,-76.75569952,39.31165083,"12,653","12,904"
447,-76.52902608,39.38882305,"2,990","3,061"
448,-76.54809072,39.37638485,"12,231","12,472"
449,-77.71901962,39.68605804,"16,520","16,831"
450,-76.50568385,39.37966781,"1,085",890
451,-76.57348107,39.35711874,"27,260","27,781"
452,-76.14215393,39.52271802,"32,940","33,571"
453,-76.64930562,39.45495436,"12,522","12,783"
454,-77.01423486,39.14927475,"17,710","18,041"
455,-76.91284894,38.93851253,"8,184","7,440"
456,-76.43063629,39.3725861,"2,980","2,750"
457,-76.94375407,39.00075103,"14,603","14,884"
458,-76.55671771,38.85171922,"12,053","12,434"
459,-76.54263476,39.3118239,"2,962","3,033"
460,-76.06221013,38.76385376,"8,603","8,774"
461,-76.89637992,39.18385494,"6,870","7,001"
462,-76.45261933,39.37924561,,"1,682"
463,-77.4609419,39.28480869,"4,650","4,811"
464,-76.69651406,39.20277198,"5,692","5,823"
465,-76.81837942,39.24618123,400,411
466,-77.71505624,39.638378,"4,042","4,113"
467,-76.62998585,39.41474444,"53,972","52,200"
468,-77.30509523,39.18126481,"8,142","8,440"
469,-76.55439445,39.28152772,"1,580","1,611"
470,-76.06182108,39.29863966,"2,775","2,810"
471,-76.46516465,39.2631366,"15,804","16,125"
472,-76.96802314,39.0043371,"27,853","28,384"
473,-76.58800002,39.31956145,"13,923","14,194"
474,-77.73958478,39.66458563,"1,915","1,990"
475,-77.06748031,39.60491116,631,642
476,-77.69854983,39.67303761,"12,240","12,481"
477,-77.25376869,39.42133282,,
478,-78.74215329,39.58800442,"2,221","2,262"
479,-77.11896396,38.99367386,"2,583","2,644"
480,-76.09909942,39.54205381,"1,494","1,545"
481,-77.0502796,39.0372303,"32,760","33,391"
482,-76.62932919,39.32702178,791,822
483,-76.90440317,39.14512245,252,"3,540"
484,-77.68512035,39.60408835,"37,982","38,140"
485,-76.60049577,39.41420919,"3,211","3,292"
486,-76.89702435,39.18391691,"1,370","1,391"
487,-76.91731291,38.9170878,"5,551","5,662"
488,-76.60874132,39.41238544,"3,161","3,232"
489,-77.13469275,39.07482305,"11,623","11,854"
490,-76.68488785,39.18859783,"11,881","12,680"
491,-76.54119571,38.97461077,"42,291","43,092"
492,-76.49599607,39.40590765,"3,651","3,732"
493,-76.6163395,39.118046,"9,674","9,875"
494,-76.59160925,39.24117206,"1,290","1,321"
495,-76.42877809,39.37901338,"40,590","41,361"
496,-75.75145986,38.67373594,"2,652","2,743"
497,-76.72786717,39.16974545,"6,590","6,721"
498,-76.57497942,39.38444163,"20,973","21,374"
499,-76.65702356,39.48233582,"17,914","18,265"
500,-76.50263869,38.84167503,984,"1,015"
501,-76.16868178,39.50466842,"1,260","1,291"
502,-76.64567083,39.45526829,"2,522","2,583"
503,-77.57117186,39.33416199,"3,800","3,921"
504,-76.77909282,38.46538912,"3,894","4,045"
505,-76.79659361,39.40655784,"1,681","1,722"
506,-76.55085168,39.27805914,"3,162","3,243"
507,-76.87444362,38.48175476,"7,985","7,050"
508,-76.47795695,39.60753132,"9,631","9,932"
509,-76.25172332,39.64480301,"9,802","11,010"
510,-76.40062271,39.71246796,"1,371","1,422"
511,-77.13314637,38.9694313,"12,493","12,744"
512,-77.25084444,39.11720319,"27,951","28,492"
513,-76.49244717,39.35868034,"3,773","3,854"
514,-76.48938191,39.40394554,110,111
515,-76.86549492,38.94479228,"115,551","117,752"
516,-75.79313187,38.9756836,"2,031","2,092"
517,-76.63498826,39.43798164,"3,272","3,343"
518,-76.46563447,38.27534599,"10,621","10,822"
519,-76.53553093,39.39025217,"167,432","158,130"
520,-76.65771926,38.76898669,"48,431","49,972"
521,-77.03251203,39.12153908,"10,854","11,085"
522,-76.60383655,39.29850762,"20,632","27,020"
523,-76.31290569,39.45691465,"2,565","2,635"
524,-75.76745106,38.63177395,"3,122","3,300"
525,-76.78866877,38.27712343,701,732
526,-77.20557375,39.10210166,"14,261","14,532"
527,-76.6118417,39.41507946,"7,521","7,682"
528,-77.15746898,39.10267394,"7,273","7,414"
529,-76.68823179,39.2615998,"1,623","1,654"
530,-76.64465915,39.1521358,"8,225","7,910"
531,-77.27336621,39.60338574,852,883
532,-76.53582909,39.39876697,"10,253","10,464"
533,-77.49279779,39.71384068,552,563
534,-76.70424097,39.25073795,"3,841","3,922"
535,-76.66663667,39.23693959,"2,125","2,120"
536,-76.52427633,39.38500562,"176,542","179,790"
537,-76.07300587,39.22188971,"12,161","12,392"
538,-76.63143999,39.20102271,"16,034","16,385"
539,-76.95806044,38.77576429,"9,873","10,064"
540,-76.86655586,39.30432064,810,831
541,-76.57905623,39.37456088,"8,411","8,572"
542,-76.61291406,39.29794472,"9,371","9,562"
543,-77.07912647,39.08652866,"46,190","47,071"
544,-77.1437921,39.38039727,"4,454","4,545"
545,-76.79603946,39.12671306,"6,260","6,381"
546,-76.6677676,39.15983661,"4,374","4,475"
547,-77.24578258,39.17465107,"5,350","5,461"
548,-76.69666363,38.3744171,"2,591","2,682"
549,-76.71594711,38.95924263,"1,774","1,815"
550,-76.51042249,39.59580745,"3,981","4,102"
551,-75.89459279,38.69738365,"4,910","5,061"
552,-75.79797368,38.98762071,"5,873","6,054"
553,-75.08065185,38.34563507,"1,402","1,443"
554,-76.87390886,38.92463254,"2,305","2,500"
555,-76.53832708,39.4072185,"8,473","8,634"
556,-75.61709499,38.36699597,"10,162","11,660"
557,-77.68791387,39.3335047,73,74
558,-76.66632636,39.49373245,542,553
559,-76.84289186,39.71974734,"3,512","3,633"
560,-76.89759942,39.14509175,"3,342","3,550"
561,-76.54818103,39.39523947,"4,630","4,731"
562,-76.31445281,39.46512971,"3,372","3,443"
563,-76.94807922,39.03826867,"23,514","23,975"
564,-78.75562859,39.64983622,"4,942","5,043"
565,-75.37489935,38.32744643,"2,112","2,183"
566,-77.40587908,39.18352219,"1,742","1,630"
567,-77.32297957,39.70382523,"9,350","9,641"
568,-76.87963331,39.55345953,842,873
569,-76.5847309,39.34828687,"34,940","35,601"
570,-76.78504359,39.12281634,"5,670","5,781"
571,-77.15470387,39.09639813,"9,873","10,064"
572,-76.7163598,39.3026346,"7,235","7,280"
573,-76.89825574,38.88727246,"12,683","12,934"
574,-75.92148898,39.27858125,381,402
575,-76.82812054,38.73130907,"2,373","2,424"
576,-76.8858249,38.76818947,"13,941","14,212"
577,-76.18890994,39.52557137,"1,723","1,764"
