,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,321 ,,,331 ,,,,0 ,,,,0 ,,,326 ,,,,,,326 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,240 ,,,357 ,,,,0 ,,,,0 ,,,299 ,,,,,,299 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,315 ,,,378 ,,,,0 ,,,,0 ,,,347 ,,,,,,347 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,442 ,,,453 ,,,,0 ,,,,0 ,,,448 ,,,,,,448 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,426 ,,,463 ,,,,0 ,,,,0 ,,,445 ,,,,,,445 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,404 ,,,469 ,,,,0 ,,,,0 ,,,437 ,,,,,,437 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,402 ,,,423 ,,,,0 ,,,,0 ,,,413 ,,,,,,413 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,303 ,,,314 ,,,,0 ,,,,0 ,,,309 ,,,,,,309 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,243 ,,,215 ,,,,0 ,,,,0 ,,,229 ,,,,,,229 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,217 ,,,186 ,,,,0 ,,,,0 ,,,202 ,,,,,,202 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,170 ,,,212 ,,,,0 ,,,,0 ,,,191 ,,,,,,191 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23: 00,,,,,0 ,,,,,,,0 ,,,,,,0 ,,,,143 ,,,147 ,,,,0 ,,,,0 ,,,145 ,,,,,,145 ,,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total :,,,,,,,0 ,,,,,,0 ,,,,,0 ,,,"5,903 ",,,,"6,275 ",,,,0 ,,,,0 ,,,"6,089 ",,,,,,"6,089 ",,0 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AMPeak Period HR. ,,,,,,,,,,,,,,,,,,,,,,8:00,,,,8:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
